titles,album,date_released,lyrics,processed_lyrics
dead man wallking,translation_through_speakers,"February 20, 2013","[Intro]
You know, maybe I'm drunk, maybe I'm not
Maybe this happened, maybe it didn't

[Chorus]
Call my doctor, call my lawyer
Call my brother, call my priest
There's paperwork to fill out
'Cause a dead man walks the streets
'Cause my sister has a best friend
That I've known since I was three
And now I'm gon' get strangled
'Cause we tangled in the sheets
My homies like, ""Dead man, dead man walking""
My homies like, ""You a dead man, dead man walking""

[Verse 1]
Yeah, uh, come on
Beautiful family friend is she
Almost a decade older than me
And I've been gone for quite a while overseas, yeah
And she's been living up in Albany, yeah yeah
Then I had two shows I played upstate
She came to show love and see my face
Then we got drinks and we chilled like, ""Hey""
And then from there it was, you know, what I'm saying

[Chorus]
Call my doctor, call my lawyer
Call my brother, call my priest
There's paperwork to fill out
'Cause a dead man walks the streets
'Cause my sister has a best friend
That I've known since I was three
And now I'm gon' get strangled
'Cause we tangled in the sheets
My homies like, ""Dead man, dead man walking""
My homies like, ""You a dead man, dead man walking""
My homies like, ""Dead man, dead man walking""
My homies like, ""You a dead man, dead man walking""

[Verse 2]
Now she's like, ""Damn, how did we let this happen?
Damn, how did we end up in this bed?""
Then I said, ""Relax"" and laughed like
""This would be a pretty dope song.""
She's like, ""No, I swear to God I'll kill you
No, I really will just take your life
No, don't even think about it
But that would be a pretty dope song""
So I came home and I called my friends
Then we got smacked and I wrote this jam
I know for a fact that we going
...
It's over, my life is deadass over

[Chorus]
Call my doctor, call my lawyer
Call my brother, call my priest
There's paperwork to fill out
'Cause a dead man walks the streets
'Cause my sister has a best friend
That I've known since I was three
And now I'm gon' get strangled
'Cause we tangled in the sheets
My homies like, ""Dead man, dead man walking""
My homies like, ""You a dead man, dead man walking""
Yeah yeah, my homies like, ""Dead man, dead man walking""
My homies like, ""You a dead man, dead man walking""

[Outro]
The funny part about this entire thing
You know, like doing the one-take, write it quick, fun jokes?
But my sister won't hear this until I release the album
She'll hear every other song except this one
So, surprise",know maybe im drunk maybe im maybe happened maybe didnt call doctor call lawyer call brother call priest theres paperwork fill cause dead man walk streets cause sister best friend ive know since three im gon get strangle cause tangle sheet homies like dead man dead man walking homies like dead man dead man walking   come beautiful family friend almost decade older ive go quite overseas  shes live albany   two show play upstate come show love see face get drink chill like hey know im say call doctor call lawyer call brother call priest theres paperwork fill cause dead man walk streets cause sister best friend ive know since three im gon get strangle cause tangle sheet homies like dead man dead man walking homies like dead man dead man walking homies like dead man dead man walking homies like dead man dead man walking shes like damn let happen damn end bed said relax laugh like would pretty dope song shes like swear god ill kill really take life dont even think would pretty dope song come home call friends get smack write jam know fact go  life deadass call doctor call lawyer call brother call priest theres paperwork fill cause dead man walk streets cause sister best friend ive know since three im gon get strangle cause tangle sheet homies like dead man dead man walking homies like dead man dead man walking   homies like dead man dead man walking homies like dead man dead man walking funny part entire thing know like onetake write quick fun jokes sister wont hear release album shell hear every song except one surprise
dont ask cuz i dont know,translation_through_speakers,"February 20, 2013","[Verse 1]
Yeah, see, check the bounce out
Welcome to the dope flow, welcome to the bounce, mane
Live inside my music, so welcome to my house, mane
Welcome, I'm a beat carpenter, and I'm a wordsmith
Welcome to that brand-spanking-new-you-never-heard shit
Welcome to the kid that bring a industry a new day
But some hater chefs cooking bullshit souffle
Welcome to the grindstone, welcome to the pipe dream
Bounced up out of college 'cause I'm taking care of my dream
Welcome to the definition of a frickin; lab rat
With just a dream, and a dollar, and a backpack
But all he cares about is family and good tunes
So don't ask him 'bout his next move

[Chorus]
I haven't even picked out my socks
How could I tell you about my future
Tell you 'bout my future
How could I tell you, t-t-tell you bout
Please don't ask me what my next move is
'Cause I just don't know
Oh, I just don't know, I just don't know, yeah
Middle finger to the sky like this
'Cause I just don't know
Oh, I just don't know, I just don't know, yeah

[Post-Chorus]
We just don't know, we just don't know, yeah
We just don't know, we just don't know

[Verse 2]
Beautiful Mind
Welcome to the positive, negatives a no-go
Young Sensei building up his dojo
Young Boston, got the smile and the mojo
He dreams yachts while he's sleeping in a rowboat
Almost there, almost there, so we go-go
Go, go, stop, stop. Stop, stop? No, no
I'm a Wizard of the odd, Toto
Dancing with a Dorothy, telling her to go slow
Dancing with a Dorothy, telling her to go slow
Dancing with a Dorothy, telling her to, telling her to

[Chorus]
I haven't even picked out my socks
How could I tell you about my future
Tell you 'bout my future
How could I tell you, t-t-tell you bout
Please don't ask me what my next move is
'Cause I just don't know
Oh, I just don't know, I just don't know, yeah
Middle finger to the sky like this
'Cause I just don't know
Oh, I just don't know, I just don't know, yeah

[Outro]
'Cause I just don't know
'Cause I just don't know
Oh, I just don't know, I just don't know, yeah
We just don't know, we just don't know, yeah
We just don't know, we just don't know", see check bounce welcome dope flow welcome bounce mane live inside music welcome house mane welcome im beat carpenter im wordsmith welcome brandspankingnewyouneverheard shit welcome kid bring industry new day hater chefs cook bullshit souffle welcome grindstone welcome pipe dream bounce college cause im take care dream welcome definition frickin lab rat dream dollar backpack care family good tune dont ask bout next move havent even pick sock could tell future tell bout future could tell tttell bout please dont ask next move cause dont know  dont know dont know  middle finger sky like cause dont know  dont know dont know  dont know dont know  dont know dont know beautiful mind welcome positive negative nogo young sensei build dojo young boston get smile mojo dream yacht hes sleep rowboat almost almost gogo go go stop stop stop stop im wizard odd toto dance dorothy tell go slow dance dorothy tell go slow dance dorothy tell tell havent even pick sock could tell future tell bout future could tell tttell bout please dont ask next move cause dont know  dont know dont know  middle finger sky like cause dont know  dont know dont know  cause dont know cause dont know  dont know dont know  dont know dont know  dont know dont know
for the dreamers,translation_through_speakers,"February 20, 2013","[Intro: Jon Bellion]
Like some dope shit, ohh la da da da da da
Like mad people, is it ohh la da da da da da?
Yeah, exactly, exactly
Ohh la da da da da da
Ohh la da da da da da
Ohh la da da da da da
Ohh

[Verse 1: Jon Bellion]
Yeah, see, it went from talking shit loud
Then graduating to whispers
Still chilling painting pictures with the hipsters
And since I produced the record, please hold while I insert
A bassline dirtier than kissing on your sister (ew)
Still clearing 30 racks, cigarettes, and leather jackets
Pimp coats, and feathered hats
Lose the phone, never that
My mother's cooking sauce
I'm more Italian than Sinatra's kids
Fashion is a chore to me, I'm partying in moccasins
Rocking with the scholars, then we shots up with the college kids
Please don't try and copy me, you're cheating while I'm proctoring
Positively optimistic, hopping on the opposite
Of every single thing they ever told me to do
So put the hate down and watch me spazz out
To sounds that John Lennon would be proud of
Put the hate down and watch me spazz out
To sounds that Jon Lennon would be proud

[Chorus: Jon Bellion]
Oh, as I take off on an aeroplane
I realize the dream that I'm chasing is true
Yes, I'm afraid of heights, but I'm not afraid to fly

[Post-Chorus]
Let me hear the dreamers yell
Ohh la da da da da da
Let me hear the dreamers yell
Ohh la da da da da da
Let me hear the dreamers yell
Ohh la da da da da da
Let me hear the dreamers yell
Ohh

[Verse 2: Blaque Keyz]
Yeah, for a proper introduction
This is Keyz without the locksmith
A new year, I'm tired of rapping on that nonchalant tip
You scholars think you can roast my associate with hot shit?
You're hopeless, 'cause this bachelor is a master when a doc spits
Work all day and lay back collecting bills at night
We're fly enough to make the sell see us, still we're fearing heights
Waiting to blow, getting impatient
I've been chasing Mr. Myers with a knife
Flipping the script because I'm killing mics
My entourage is a bunch of guys who walk around
Mauling over moms in every mall with their sharpened claws
Not talking Santa or a certain type of grammar
I'm a standout, not handing handouts to all your open paws
So put the hate down and watch me spazz out
To sounds that Kurtis Blow would be proud of
Put the hate down and watch me spazz out
To sounds that Kurtis Blow would be proud

[Chorus: Jon Bellion]
Oh, as I take off on an aeroplane
I realize the dream that I'm chasing is true
Yes, I'm afraid of heights, but I'm not afraid to fly

[Post-Chorus]
Let me hear the dreamers yell
Ohh la da da da da da
Let me hear the dreamers yell
Ohh la da da da da da
Let me hear the dreamers yell
Ohh la da da da da da
Let me hear the dreamers yell
Ohh

[Outro]
Never wake up from your dreams
Your dreams, your dreams, your dreams, your dreams, yeah
Never wake up from your dreams
Your dreams, your dreams, your dreams, your dreams, yeah
Never wake up from your dreams
Your dreams, your dreams, your dreams, your dreams, yeah
Never wake up from your dreams
Your dreams, your dreams, your dreams, your dreams, yeah
Never wake up from your dreams",like dope shit        like mad people         exactly exactly                        see go talk shit loud graduate whisper still chill paint picture hipsters since produce record please hold insert bassline dirtier kiss sister  still clear  racks cigarettes leather jacket pimp coats feather hat lose phone never mothers cook sauce im italian sinatras kid fashion chore im party moccasins rock scholars shots college kid please dont try copy youre cheat im proctor positively optimistic hop opposite every single thing ever tell put hate watch spazz sound john lennon would proud put hate watch spazz sound jon lennon would proud  take aeroplane realize dream im chase true yes im afraid heights im afraid fly let hear dreamers yell        let hear dreamers yell        let hear dreamers yell        let hear dreamers yell   proper introduction keyz without locksmith new year im tire rap nonchalant tip scholars think roast associate hot shit youre hopeless cause bachelor master doc spit work day lay back collect bill night fly enough make sell see us still fear heights wait blow get impatient ive chase mr myers knife flip script im kill mics entourage bunch guy walk around maul moms every mall sharpen claw talk santa certain type grammar im standout hand handouts open paw put hate watch spazz sound kurtis blow would proud put hate watch spazz sound kurtis blow would proud  take aeroplane realize dream im chase true yes im afraid heights im afraid fly let hear dreamers yell        let hear dreamers yell        let hear dreamers yell        let hear dreamers yell  never wake dream dreams dreams dreams dreams  never wake dream dreams dreams dreams dreams  never wake dream dreams dreams dreams dreams  never wake dream dreams dreams dreams dreams  never wake dream
life,translation_through_speakers,"February 20, 2013","[Verse 1]
22 and confused
On what to do and how to set it up
Kind of drunk, sort of high
She's a broken Miss America
Never learned how to love
'Cause the answers are stuck behind closed doors
You can call it a night
When the lights in the club don't shine no more
When the lights in the club don't shine no more
When the lights in the club don't shine no more

[Chorus]
She wrote it on the bathroom wall in her favorite shade of lipstick
L-I-F-E
She wrote it on the bathroom wall in her favorite shade of lipstick
L-I-F-E, L-I-F-E
Oh oh, she just tryna figure out L-I-F-E, L-I-F-E
Oh oh, we're just tryna figure out

[Verse 2]
Only dreams 'bout the lights, so he's having trouble getting up
He's convinced only Kanye knows how to make it in America
Never learned how to love
'Cause the answers are stuck in all of the lights, all of the lights
He will call it a night
When the lights in the studio shine no more
When the lights in the studio shine no more, yeah
Oh oh, when the lights in the studio shine no more

[Chorus]
She wrote it on the bathroom wall in her favorite shade of lipstick
L-I-F-E
She wrote it on the bathroom wall in her favorite shade of lipstick
L-I-F-E, L-I-F-E
Oh oh, she just tryna figure out L-I-F-E, L-I-F-E
Oh oh, we're just tryna figure out L-I-F-E
Oh oh, she just tryna figure out L-I-F-E, L-I-F-E
Oh oh, we're just tryna figure out

[Outro]
She wrote it on the bathroom wall in her favorite shade of lipstick
L-I-F-E
She wrote it on the bathroom wall in her favorite shade of lipstick
L-I-F-E, L-I-F-E
Oh oh, she just tryna figure out L-I-F-E, L-I-F-E
Oh oh, I'm just tryna figure out", confuse set kind drunk sort high shes break miss america never learn love cause answer stick behind close doors call night light club dont shine light club dont shine light club dont shine write bathroom wall favorite shade lipstick life write bathroom wall favorite shade lipstick life life   tryna figure life life   tryna figure dream bout lights hes trouble get hes convince kanye know make america never learn love cause answer stick lights light call night light studio shine light studio shine    light studio shine write bathroom wall favorite shade lipstick life write bathroom wall favorite shade lipstick life life   tryna figure life life   tryna figure life   tryna figure life life   tryna figure write bathroom wall favorite shade lipstick life write bathroom wall favorite shade lipstick life life   tryna figure life life   im tryna figure
paper planes,translation_through_speakers,"February 20, 2013","[Verse 1]
Oh, that ass, it was so first class
She was my co-pilot with a mile high swag
We would smoke all night just flying high like that
(Smoke, smoke all night just flying high like, high like)
I needed her, I knew she needed me
If we fly this thing, it's gonna take two people
But the storm came fast, got a little rocky
The oxygen masks from the ceiling, they were dropping

[Chorus]
We started to fall right out the sky without a warning call
We started to fall, no parachute
So we had no time to call for mayday, mayday
We booked two tickets down to paradise
One last flight tryna make it right
But that's when the rain came, that's when the pain came
Were never ever gonna make it fly
We booked two tickets down to paradise
One last flight tryna make it right
But love came like a hurricane and we were just a paper plane
I know we tried to fly away, yeah
But we were just a paper plane

[Verse 2]
It's funny how things end up, it's funny how we break it off
Relationships they nose dive while one's career is taking off
Publishing checks and fake smiles as I see my dad
My pockets getting filled, but really, emptiness is all I have
We crash, and now there's spare parts
Bandages, and bad scars
We're trying to mend broke Amelia Earharts
And keep trying to fly on, fly on, fly on
But I'm missing my right wing, my right arm, and that's you

[Chorus]
We started to fall right out the sky without a warning call
We started to fall, no parachute
So we had no time to call for mayday, mayday
We booked two tickets down to paradise
One last flight tryna make it right
But that's when the rain came, that's when the pain came
Were never ever gonna make it fly
We booked two tickets down to paradise
One last flight tryna make it right
But love came like a hurricane and we were just a paper plane
I know we tried to fly away, yeah
But we were just a paper plane", ass first class copilot mile high swag would smoke night fly high like smoke smoke night fly high like high like need know need fly thing gonna take two people storm come fast get little rocky oxygen mask ceiling drop start fall right sky without warn call start fall parachute time call mayday mayday book two ticket paradise one last flight tryna make right thats rain came thats pain come never ever gonna make fly book two ticket paradise one last flight tryna make right love come like hurricane paper plane know try fly away  paper plane funny things end funny break relationships nose dive ones career take publish check fake smile see dad pocket get filled really emptiness crash theres spare part bandages bad scar try mend break amelia earharts keep try fly fly fly im miss right wing right arm thats start fall right sky without warn call start fall parachute time call mayday mayday book two ticket paradise one last flight tryna make right thats rain came thats pain come never ever gonna make fly book two ticket paradise one last flight tryna make right love come like hurricane paper plane know try fly away  paper plane
the wonder years,translation_through_speakers,"February 20, 2013","[Verse 1]
Before the war, before the lives
Before my brother left that night, yeah
I was just a kid, I was singing la la la la la la la la
Shit was simple just like la la la la la la la la
Yeah, before I grasped that people died
Before I saw my sister cry, yeah
I was just a kid, I was singing la la la la la la la la
Shit was simple just like la la la la la la la la

[Chorus]
So take me back to the days when I was younger
All this bullshit is overrated
Back to the days, pour some shots out with my people
And we gon’ sing like la la la la la la la la
At our local bar like la la la la la la la la

[Verse 2]
Before the world turned gray and old
Before we both fell out of love
We were just kids, we were singing la la la la la la la la
Love was simple just like la la la la la la la la
Before they put our dreams in jail
Before we lost our fairy tales, oh
We were just kids, we were singing la la la la la la la la
Love was simple just like la la la la la la la

[Chorus]
So take me back to the days when I was younger
All this bullshit is overrated
Back to the days, pour some shots out with my people
And we gon’ sing like la la la la la la la la
At our local bar like la la la la la la la la

[Bridge]
They say my dream is unreal
I’m forgettin' how the sun feels
I’m forgettin' how love heals
And my niece is blowing bubbles in the yard
Economy is down, too
They're lying on the damn news
People murdering for damn shoes
And my niece is blowing bubbles in the yard
Think about it, my niece is blowing bubbles in the yard
My niece is blowing bubbles in the yard
Think about it, niece is blowin' bubbles in the yard, yeah

[Chorus]
So take me back to the days when I was younger
All this bullshit is overrated
Back to the days, pour some shots out with my people
And we gon’ sing like la la la la la la la la
At our local bar like la la la la la la la la",war live brother leave night  kid sing         shit simple like          grasp people die saw sister cry  kid sing         shit simple like         take back days younger bullshit overrate back days pour shots people gon sing like         local bar like         world turn gray old fell love kids sing         love simple like         put dream jail lose fairy tales  kids sing         love simple like        take back days younger bullshit overrate back days pour shots people gon sing like         local bar like         say dream unreal im forgettin sun feel im forgettin love heal niece blow bubble yard economy theyre lie damn news people murder damn shoe niece blow bubble yard think niece blow bubble yard niece blow bubble yard think niece blowin bubble yard  take back days younger bullshit overrate back days pour shots people gon sing like         local bar like        
timeless,translation_through_speakers,"February 20, 2013","[Chorus]
Fell asleep I had a kick-ass dream
Me, Frank Sinatra, James Dean
Sammy Davis at the bar drinking Moonshine
Nice women, white wine, chillin' poolside
So I asked, ""When will it be my time?""
They said, ""Boy, don't even look at the clock
'Cause you're gonna be timeless""
They said, ""Boy, don't even look at the clock
'Cause you're gonna be timeless""
They said, ""Boy, don't even look at the clock
'Cause you're gonna be timeless""

[Verse 1]
I'm not afraid to be a leader (Gonna be)
To be remembered by the readers (Gonna be)
My generation's Mona Lisa (Gonna be)
Whoa, whoa oh, yeah (No, no, you're gonna be)
I'm not afraid to be a hero (Gonna be)
To be known wherever we go (Gonna be)
I was told I was a zero (Gonna be)
But no, no, no, no, no (You know you're gonna be)
And I can't sit and wait for all my plans
God didn't make this man
To be stuck in the middle of nowhere land
So watch me, set this moment on fire (You know you're gonna be)

[Chorus]
Fell asleep I had a kick-ass dream
Me, Frank Sinatra, James Dean
Sammy Davis at the bar drinking Moonshine
Nice women, white wine, chillin' poolside
So I asked, ""When will it be my time?""
They said, ""Boy, don't even look at the clock
'Cause you're gonna be timeless""
(Because you're gonna be timeless)
They said, ""Boy, don't even look at the clock
'Cause you're gonna be timeless""
(Because you're gonna be timeless)
They said, ""Boy, don't even look at the clock
'Cause you're gonna be timeless""

[Verse 2]
This that feeling that you get from Ali's knock outs
My sister said, ""Don't release it if you're not down""
So don't worry about the records that I swap out
I'm reaching for that Goosebump shit from 
College Dropout
Never let opinions split me in two
I keep smiling and do what I do
""How he so quiet, but that dope shine through?""
Because it's humbling when your message is bigger than you
Yeah, I grew up in an internet age
With 10,000 freaking records on my internet page
It's kinda tought to not blend all the records I played
I'm just the one that's not afraid to make sickening lane
Yeah, shouts to Cudi just doing what feels right
Shouts to kids who don't know what they really like
'Cause we're the same, we're just making music every night
And we're the reason why these A&R's are getting fired

[Chorus]
Fell asleep I had a kick-ass dream
Me, Frank Sinatra, James Dean
Sammy Davis at the bar drinking Moonshine
Nice women, white wine, chillin' poolside
So I asked, ""When will it be my time?""
They said, ""Boy, don't even look at the clock
'Cause you're gonna be timeless""
(Because you're gonna be timeless)
They said, ""Boy, don't even look at the clock
'Cause you're gonna be timeless""
(Because you're gonna be timeless)
They said, ""Boy, don't even look at the clock
'Cause you're gonna be timeless""",fell asleep kickass dream frank sinatra jam dean sammy davis bar drink moonshine nice women white wine chillin poolside asked time said boy dont even look clock cause youre gonna timeless said boy dont even look clock cause youre gonna timeless said boy dont even look clock cause youre gonna timeless im afraid leader gonna remember readers gonna generations mona lisa gonna whoa whoa   youre gonna im afraid hero gonna know wherever go gonna tell zero gonna know youre gonna cant sit wait plan god didnt make man stick middle nowhere land watch set moment fire know youre gonna fell asleep kickass dream frank sinatra jam dean sammy davis bar drink moonshine nice women white wine chillin poolside asked time said boy dont even look clock cause youre gonna timeless youre gonna timeless said boy dont even look clock cause youre gonna timeless youre gonna timeless said boy dont even look clock cause youre gonna timeless feel get alis knock sister said dont release youre dont worry record swap im reach goosebump shit college dropout never let opinions split two keep smile quiet dope shine humble message bigger  grow internet age  freak record internet page kinda tought blend record play im one thats afraid make sicken lane  shout cudi feel right shout kid dont know really like cause make music every night reason ars get fire fell asleep kickass dream frank sinatra jam dean sammy davis bar drink moonshine nice women white wine chillin poolside asked time said boy dont even look clock cause youre gonna timeless youre gonna timeless said boy dont even look clock cause youre gonna timeless youre gonna timeless said boy dont even look clock cause youre gonna timeless
waves of loneliness,translation_through_speakers,"February 20, 2013","[Verse 1]
It's so empty right where your head sleeps
And she said ""I still smell your cologne in my bed sheets""

[Pre-Chorus]
So I said ""I'm just texting you to see how you're ho-holding on""
Then she said, ""Some days, I'm okay
But when I'm alone, it hurts because...""

[Chorus]
The-the-the loneliness comes in waves, waves, waves
The-the-the loneliness comes in waves, waves, waves

[Verse 2]
When did love letters get lost in translation?
Translation, translation
I heard you took the train from Penn Station
Penn Station, Penn Station

[Pre-Chorus]
So I said ""I'm just texting you to see how you're ho-holding on""
Then she said, ""Some days, I'm okay
But when I'm alone, it hurts because...""

[Chorus]
The-the-the loneliness comes in waves, waves, waves
The-the-the loneliness comes in waves, waves, waves
The-the-the loneliness comes in waves, waves, waves
The-the-the loneliness comes in waves, waves, waves

[Verse 3]
I have to tape my mouth, I want to ask you questions
Like, ""Do you sleep alone? I heard there's friends you rest with""
So I text her friend like, ""Tell me where this man's at""
She said, ""You got some balls, you don't deserve to ask that""
Oh, oh, they gotta be lying, I'm dying to know
But I know you're not mine, so I, I can't say shit

[Pre-Chorus]
So I said ""I'm just texting you to see how you're ho-holding on""
Then she said, ""Some days, I'm okay
But when I'm alone, it hurts because...""

[Chorus]
(The loneliness comes in waves)
Waves, waves, waves
(The loneliness comes in, yeah )
Waves, waves, waves
(The loneliness comes in, comes in, comes in)
Waves, waves, waves
The loneliness comes in waves, waves, waves
The loneliness comes in waves",empty right head sleep say still smell cologne bed sheets say im texting see youre hoholding said days im okay im alone hurt thethethe loneliness come waves waves wave thethethe loneliness come waves waves wave love letter get lose translation translation translation hear take train penn station penn station penn station say im texting see youre hoholding said days im okay im alone hurt thethethe loneliness come waves waves wave thethethe loneliness come waves waves wave thethethe loneliness come waves waves wave thethethe loneliness come waves waves wave tape mouth want ask question like sleep alone hear theres friends rest text friend like tell mans said get balls dont deserve ask   gotta lying im die know know youre mine cant say shit say im texting see youre hoholding said days im okay im alone hurt loneliness come waves waves waves wave loneliness come   waves waves wave loneliness come come come waves waves wave loneliness come waves waves wave loneliness come wave
while you count sheep,translation_through_speakers,"February 20, 2013","[Intro]
Dum, dum, dum, dum, dum, dum
Dum, dum, dum, dum, dum, dum, dum
Beautiful Mind, Mind, Mind
She's literally like five feet away from me
While I'm recording this, sleeping on the couch
This is for her, sleepy ass

[Verse 1]
I wrote this while I'm watching you sleep (you sleep)
You're behind me on the couch in the studio
So I'm gonna make this lullaby sweet (lullaby sweet)
And soft so I don't wake you up
You're smiling as you sleep so you dig it
Only I can make some soft shit and rip it
I knew that you were dope from the jump like ribbit
'Cause all these other girls fall short like midgets

[Chorus]
The Sandman gon' flip when he come through
While you count sheep, I'll give him music to jump to
The Sandman gon' flip when he come through
While you count sheep, I'll give him music to jump to
While you count sheep, I'll give him music to jump to
While you count sheep, I'll give him music to jump to
Dum, dum, dum, dum, dum, dum
Dum, dum, dum, dum, dum, dum, dum
Dum, dum, dum, dum, dum, dum
Dum, dum, dum, dum, dum, dum, dum
While you count sheep, I'll give him music to jump to

[Verse 2]
I wrote this while I'm watching you sleep (you sleep)
Your hair is all over the place and I love it
I won't put the bass in this beat (this beat)
If it knocks, then I might wake you up
You're smiling as you sleep, so you like it
She just let me work 'cause she know I cook diamonds
She know I'm paid, but she still nine-to-five-ing
That's why she allowed to hang while I'm writing

[Chorus]
The Sandman gon' flip when he come through
While you count sheep, I'll give him music to jump to
The Sandman gon' flip when he come through
While you count sheep, I'll give him music to jump to
While you count sheep, I'll give him music to jump to
While you count sheep, I'll give him music to jump to
Dum, dum, dum, dum, dum, dum
Dum, dum, dum, dum, dum, dum, dum
Dum, dum, dum, dum, dum, dum
Dum, dum, dum, dum, dum, dum, dum
While you count sheep, I'll give him music to jump to

[Bridge]
Dopest musical breakdown ever, ready?
If I make this, then maybe you will wake up and get naked
Girl, I'm playing, girl, I'm playing, girl, I'm playing, maybe not
I make this, then maybe you will wake up and get naked
Girl, I'm playing, girl, I'm playing, girl, I'm playing, maybe not
If I make this, then maybe you will wake up and get naked
Girl, I'm playing, girl, I'm playing, girl, I'm playing, maybe not
I make this, then maybe you will wake up and
Wake up and get, wake up and get, yah, yah
Wake up and get, wake up and get, yah, yah
Wake up and get, wake up and get, yah, yah
Wake up and get, wake up and get, yah, yah

[Outro]
Dum, dum, dum, dum, dum, dum
Dum, dum, dum, dum, dum, dum, dum
Dum, dum, dum, dum, dum, dum
Dum, dum, dum, dum, dum, dum, dum
Dum, dum, dum, dum, dum, dum
Dum, dum, dum, dum, dum, dum, dum
Dum, dum, dum, dum, dum, dum
Dum, dum, dum, dum, dum, dum, dum
Dum, dum, dum, dum, dum, dum
Dum, dum, dum, dum, dum, dum, dum
Dum, dum, dum, dum, dum, dum
Dum, dum, dum, dum, dum, dum, dum
Ah, look who finally decided to wake up",             beautiful mind mind mind shes literally like five feet away im record sleep couch sleepy ass write im watch sleep sleep youre behind couch studio im gonna make lullaby sweet lullaby sweet soft dont wake youre smile sleep dig make soft shit rip know dope jump like ribbit cause girls fall short like midgets sandman gon flip come count sheep ill give music jump sandman gon flip come count sheep ill give music jump count sheep ill give music jump count sheep ill give music jump                           count sheep ill give music jump write im watch sleep sleep hair place love wont put bass beat beat knocks might wake youre smile sleep like let work cause know cook diamonds know im paid still ninetofiveing thats allow hang im write sandman gon flip come count sheep ill give music jump sandman gon flip come count sheep ill give music jump count sheep ill give music jump count sheep ill give music jump                           count sheep ill give music jump dopest musical breakdown ever ready make maybe wake get naked girl im playing girl im playing girl im playing maybe make maybe wake get naked girl im playing girl im playing girl im playing maybe make maybe wake get naked girl im playing girl im playing girl im playing maybe make maybe wake wake get wake get   wake get wake get   wake get wake get   wake get wake get                                                                                 ah look finally decide wake
wutup snow,translation_through_speakers,"February 20, 2013","[Pre-Chorus: Jon Bellion]
Her body is cold, the conversation is cocaine
I'll call her Snow (Yeah, that's your new nickname)
Her body is cold, the conversation is cocaine
I'll call her snow (What up, Snow?)

[Chorus: Jon Bellion]
Yeah, what up to Snow
She always keep it funky like afros
A little bit of panic 'cause my heart's Titanic
Like, oh, we so DiCaprio
Yeah, what up to Snow
She always keep it funky like afros
A little bit of panic 'cause my heart's Titanic
Like, oh, we so DiCaprio

[Verse 1: Jon Bellion]
She knows more than me about Dragon Ball Z
How cold is that? How cold is that?
(Yeah, that's pretty cold, son)
She's so Andre to me, she's 3000 degrees
How cold is that? how cold is that?
(I, I think that she's ice cold then, right?)
I'm making music in a blue room
She walks in in black lingerie
And she likes Italian white kids
So when we hit the bedroom, we turning Fifty Shades of Grey
Nickname stuck, now she won't let it go
So now I'm undercover screaming, ""Let it snow!""
Now we rubbing noses like we Eskimos
Beautiful Mind, you already know

[Pre-Chorus: Jon Bellion]
Her body is cold, the conversation is cocaine
I'll call her Snow (Yeah, that's your new nickname)
Her body is cold, the conversation is cocaine
I'll call her snow (What up, Snow?)

[Chorus: Jon Bellion]
Yeah, what up to Snow
She always keep it funky like afros
A little bit of panic 'cause my heart's Titanic
Like, oh, we so DiCaprio
Yeah, what up to Snow
She always keep it funky like afros
A little bit of panic 'cause my heart's Titanic
Like, oh, we so DiCaprio

[Verse 2: Blaque Keyz]
Beautiful Mind, yeah
Say ""Hello"" to the woman frozen like pose in a tundra
I wonder if I propose, will she open up like umbrellas
Or will she close, I would hope that you were in the know
Cause that dress is wrapping around her like plastic on bags of blow
She so classic, I never pass it, so passionate, making racket
When raggin', grabbin' her toes, a total package and all
Never get in your face about movin' in steady paces
Throw those other broads away, just so her waist don't go to waste
I'm the detective on this case, but I've defected on this record
Investigating a case and pursuing her in a chase
I might ruin her when I'm through with her, but only she would know
If I broke her heart into pieces and dropped it when it was frozen
And I'm a snowman, we hold hands, I melt when she gets close
Grabbin' my carrot, I'm an addict for this habit I have chosen
As the weather's getting warmer and the season is done
I'ma make sure to keep you on the tip of my tongue

[Outro: Jon Bellion]
I'll call her snow
She's so cold, ba bada ba
Yeah, yeah, yeah, yeah
I'll call her snow
I'll call her snow",body cold conversation cocaine ill call snow  thats new nickname body cold conversation cocaine ill call snow snow  snow always keep funky like afros little bite panic cause hearts titanic like  dicaprio  snow always keep funky like afros little bite panic cause hearts titanic like  dicaprio know dragon ball z cold cold  thats pretty cold son shes andre shes  degrees cold cold think shes ice cold right im make music blue room walk black lingerie like italian white kid hit bedroom turn fifty shade grey nickname stuck wont let go im undercover screaming let snow rub nose like eskimos beautiful mind already know body cold conversation cocaine ill call snow  thats new nickname body cold conversation cocaine ill call snow snow  snow always keep funky like afros little bite panic cause hearts titanic like  dicaprio  snow always keep funky like afros little bite panic cause hearts titanic like  dicaprio beautiful mind  say hello woman freeze like pose tundra wonder propose open like umbrellas close would hope know cause dress wrap around like plastic bag blow classic never pass passionate make racket raggin grabbin toes total package never get face movin steady pace throw broads away waist dont go waste im detective case ive defect record investigate case pursue chase might ruin im would know break heart piece drop freeze im snowman hold hands melt get close grabbin carrot im addict habit choose weathers get warmer season ima make sure keep tip tongue ill call snow shes cold  bada      ill call snow ill call snow
